ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
mdCatch,https://github.com/compsciencelab/mdCATH,https://doi.org/10.48550/arXiv.2407.14794,,https://huggingface.co/datasets/compsciencelab/mdCATH,Datasets,Molecular Dynamics,,,dataset generated through an extensive set of all-atom molecular dynamics simulations of a diverse and representative collection of protein domains,17.0,09/2024,0 months ago,,0.0,fontawesome/brands/mdb
BIOFACQUIM,,,,https://www.difacquim.com/d-tools/,Datasets,Natural Products,,,novel compounds databse with natural products isolated and charcterized in Mexico (online),,,,,,material/sprout
COCONUT,,https://doi.org/10.1186%2Fs13321-020-00478-9,,https://coconut.naturalproducts.net/,Datasets,Natural Products,,,"COCONUT hosts one of the largest and best annotated natural product databases, freely available and undergoing continuous curation and improvement.",,,,,274.0,material/sprout
HIT 2.0,,https://doi.org/10.1093/nar/gkq1165,,http://hit2.badd-cao.net/,Datasets,Natural Products,,,an enhanced platform for Herbal Ingredients' Targets (online),,,,,252.0,material/sprout
iSMART,,,,http://ismart.cmu.edu.tw/,Datasets,Natural Products,,,"an integrated cloud computing web server for traditional Chinese medicine for online virtual screening, de novo evolution and drug design (online)",,,,,,material/sprout
LOTUS,,https://doi.org/10.7554/eLife.70780,,https://lotus.naturalproducts.net/,Datasets,Natural Products,,,"LOTUS is a significant, well-annotated resource for natural products, offering a user-friendly experience including structural search, taxonomy-oriented queries, and exports.",,,,,113.0,material/sprout
Natural product subsets (DIFACQUIM),https://github.com/DIFACQUIM/Natural-products-subsets-generation,https://doi.org/10.1016/j.ailsci.2023.100066,,,Datasets,Natural Products,,,Natural product datasets (diverse with Python code to generate diversity) (dataset),4.0,10/2023,10 months ago,,3.0,material/sprout
NPASS,,https://doi.org/10.1093/nar/gkac1069,,https://bidd.group/NPASS/,Datasets,Natural Products,,,Natural product activity and species source database,,,,,19.0,material/sprout
npatlas,,,,https://www.npatlas.org/,Datasets,Natural Products,,,The Natural Products Atlas 2.0: A Database of Microbially-Derived Natural Products (online),,,,,,material/sprout
Nubbe,,,,http://nubbe.iq.unesp.br/portal/nubbe-search.html,Datasets,Natural Products,,,a natural products database from the biodiversity of Brazil (online),,,,,,material/sprout
PeruNPDB,,,,https://perunpdb.com.pe/,Datasets,Natural Products,,,the Peruvian Natural Products Database for in silico drug screening (database),,,,,,material/sprout
Super Natural II,,https://doi.org/10.1093/nar/gkac1008.,,http://bioinf-applied.charite.de/supernatural_new/index.php,Datasets,Natural Products,,,a database of natural products (online),,,,,0.0,material/sprout
SymMap,,https://doi.org/10.1186/s13321-020-00478-9,,http://www.symmap.org/,Datasets,Natural Products,,,"SymMap integrates traditional Chinese medicine with modern medicine through molecular mechanisms and symptom mapping, offering information on herbs, ingredients, targets, symptoms, and diseases.",,,,,274.0,material/sprout
TCM Database@Taiwan,,,,http://tcm.cmu.edu.tw/,Datasets,Natural Products,,,the world's largest traditional Chinese medicine database for drug screening in silico (online),,,,,,material/sprout
TCMSID,,https://doi.org/10.1186/s13321-022-00670-z,,https://tcm.scbdd.com/,Datasets,Natural Products,,,a simplified integrated database for drug discovery from traditional chinese medicine (online),,,,,10.0,material/sprout
VIETHERB,,,,http://vietherb.com.vn/,Datasets,Natural Products,,,A Database for Vietnamese Herbal Species - Natural products (online),,,,,,material/sprout
PROTAC-DB,,,,http://cadd.zju.edu.cn/protacdb/,Datasets,PROTACs,,,an online database of PROTACs (online),,,,,,material/database
PROTAC-DB 2.0,,,,http://cadd.zju.edu.cn/protacdb/,Datasets,PROTACs,,,an updated database of PROTACs (online),,,,,,material/database
MoleculeNet,https://github.com/GLambard/Molecules_Dataset_Collection?tab=readme-ov-file,https://doi.org/10.48550/arXiv.1703.00564,,,Datasets,Properties,,,- Selection of data sets of molecules (SMILES) and physicochemical properties,96.0,06/2018,75 months ago,,0.0,material/tune-vertical
OpenProteinSet,,https://doi.org/10.48550/arXiv.2308.05326,,https://arxiv.org/abs/2308.05326,Datasets,Protein Sequences,,,"OpenProteinSet is an open-source corpus of more than 16 million Multiple Sequence Alignments (MSAs), associated structural homologs from the Protein Data Bank, and AlphaFold2 protein structure predictions. It's designed to be broadly useful as training and validation data for tasks focused on protein structure, function, and design, as well as large-scale multimodal machine learning research.",,,,,0.0,material/view-sequential
PDB,,https://doi.org/10.1093/nar/28.1.235,,https://www.rcsb.org/,Datasets,Protein Structures,,,"The RCSB Protein Data Bank provides access to experimentally determined 3D structures from the PDB archive and computed structure models, offering tools for exploration, visualization, and analysis.",,,,,29407.0,material/bio
PDB-redo,,https://doi.org/10.1107/s0907444911054515,,https://pdb-redo.eu/,Datasets,Protein Structures,,,"Offers optimized versions of PDB entries through an automated procedure that refines, rebuilds, and validates structural models, combining popular crystallographic software with specially developed tools.",,,,,189.0,material/bio
OpenTargets,,https://doi.org/10.1093/nar/gkw1055,,https://www.opentargets.org/,Datasets,Protein Targets,,,A partnership to transform drug discovery through the systematic identification and prioritisation of targets,,,,,366.0,material/bullseye-arrow
PLINDER,https://github.com/plinder-org/plinder,https://doi.org/10.1101/2024.07.17.603955,,,Datasets,Protein-Ligand Interaction,,,"the largest and most annotated dataset to date, comprising 449,383 PLI systems, each with over 500 annotations, similarity metrics at protein, pocket, interaction and ligand levels, and paired unbound (apo) and predicted structures",131.0,09/2024,0 months ago,,1.0,material/tray-full
BindingDB,,https://doi.org/10.1093/nar/gkv1072,,https://www.bindingdb.org/bind/index.jsp,Datasets,Protein-Ligand Interaction,,,"BindingDB contains data for over 1.2 million compounds and 9.2k targets, supporting research, education, and practice in drug discovery, pharmacology, and related fields.",,,,,1035.0,material/tray-full
BindingNet,https://github.com/hnlab/BindingNet,https://doi.org/10.1021/acs.jcim.3c01170,,http://bindingnet.huanglab.org.cn/,Datasets,Protein-Ligand Interaction,,,"BindingNet is a dataset for analyzing protein-ligand interactions, containing modeled poses for compounds similar to the crystal ligands found in PDBbind, along with corresponding activities from ChEMBL.",17.0,07/2024,2 months ago,,2.0,material/tray-full
BioLip2,,https://doi.org/10.1093/nar/gkad630,,https://zhanggroup.org/BioLiP/index.cgi,Datasets,Protein-Ligand Interaction,,,"BioLiP is a semi-manually curated database for high-quality, biologically relevant ligand-protein binding interactions, aiming to serve the needs of ligand-protein docking, virtual ligand screening, and protein function annotation.",,,,,24.0,material/tray-full
Leak Proof PDBBind,https://github.com/THGLab/LP-PDBBind,https://doi.org/10.48550/arXiv.2308.09639,,https://github.com/THGLab/LP-PDBBind,Datasets,Protein-Ligand Interaction,,,"This work presents a cleaned PDBBind dataset of non-covalent binders, reorganized to avoid data leakage, allowing for more generalizable binding affinity prediction.",28.0,01/2024,7 months ago,,0.0,material/tray-full
PDBBind,,https://doi.org/10.1021/acs.accounts.6b00491,,http://pdbbind.org.cn/,Datasets,Protein-Ligand Interaction,,,,,,,,282.0,material/tray-full
PDBscreen,,,,https://zenodo.org/records/8049380,Datasets,Protein-Ligand Interaction,,,PDBscreen provides a dataset with multiple data augmentation strategies suitable for training protein-ligand interaction prediction methods.,,,,,,material/tray-full
PLAS-20K,,https://doi.org/10.26434/chemrxiv-2023-mg07d,,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64cca66569bfb8925a5514c5/original/plas-20k-extended-dataset-of-protein-ligand-affinities-from-md-simulations-for-machine-learning-applications.pdf,Datasets,Protein-Ligand Interaction,,,,,,,,0.0,material/tray-full
PDBBind+,,,,https://www.pdbbind-plus.org.cn/,Datasets,Protein-Ligand Interaction,,,,,,,Commercial,,material/tray-full
SIU,https://github.com/bowen-gao/SIU,https://doi.org/10.48550/arXiv.2406.08961,,https://huggingface.co/datasets/bgao95/SIU,Datasets,Protein-Ligand Interaction,,,Million-Scale Structural Small Molecule-Protein Interaction Dataset for Unbiased Bioactivity Prediction,4.0,06/2024,2 months ago,,0.0,material/tray-full
DrugMatrix/ToxFX,,,,https://ntp.niehs.nih.gov/data/drugmatrix,Datasets,Toxicity,,,one of the world’s largest toxicogenomic reference resources,,,,,,fontawesome/solid/radiation
hergcentral,,https://doi.org/10.1089%2Fadt.2011.0425,,http://www.hergcentral.org/,Datasets,Toxicity,,,,,,,,39.0,fontawesome/solid/radiation
hERGdb,,,https://drugdesign.riken.jp/hERGdb/,,Datasets,Toxicity,,hERG,web-based cardiotoxicity prediction,,,,,,fontawesome/solid/radiation
Pan-Canadian Chemical Library,https://github.com/cbedart/PCCL,https://doi.org/10.1038/s41597-024-03443-5,,,Datasets,Virtual Libraries,,,a collection of nearly 150 billion diverse compounds that does not overlap with other ultra-large libraries such as Enamine REAL or SAVI,0.0,06/2024,2 months ago,,0.0,material/database
GenBench3D,https://github.com/bbaillif/genbench3d,https://doi.org/10.48550/arXiv.2407.04424,,,De Novo Generation,Benchmarking,,,Benchmarking structure-based three-dimensional molecular generative models using GenBench3D,11.0,07/2024,1 months ago,,0.0,material/bench-back
GuacaMol,https://github.com/BenevolentAI/guacamol,https://doi.org/10.1021/acs.jcim.8b00839,,,De Novo Generation,Benchmarking,Expert Feedback,,"Framework for benchmarking models in de novo molecular design, providing a standard suite of tests to evaluate the performance of generative models in producing molecules with desired properties.",403.0,07/2022,26 months ago,,417.0,material/bench-back
moses,https://github.com/molecularsets/moses,https://doi.org/10.3389/fphar.2020.565644,,,De Novo Generation,Benchmarking,Expert Feedback,,,815.0,06/2023,14 months ago,,306.0,material/bench-back
SMINA Docking Benchmark,https://github.com/cieplinski-tobiasz/smina-docking-benchmark,https://doi.org/10.1021/acs.jcim.2c01355,,,De Novo Generation,Benchmarking,Expert Feedback,,We Should at Least Be Able to Design Molecules That Dock Well,66.0,09/2022,24 months ago,,10.0,material/bench-back
Acegen-Open,https://github.com/acellera/acegen-open,https://doi.org/10.1186/s13321-022-00646-z,,,De Novo Generation,De Novo Generation,,,TorchRL-based toolkit for reinforcement learning in generative chemistry,64.0,08/2024,0 months ago,,12.0,material/new-box
ChemTSv2,https://github.com/molecule-generator-collection/ChemTSv2,https://doi.org/10.1002/wcms.1680,,,De Novo Generation,De Novo Generation,,,"An extended version of ChemTS, focusing on functional molecular design using de novo molecule generators, incorporating improvements for LogP maximization tasks and other molecular design objectives.",83.0,07/2024,1 months ago,,5.0,material/new-box
COATI,https://github.com/terraytherapeutics/COATI/tree/main,https://doi.org/10.26434/chemrxiv-2023-bdkgm,,,De Novo Generation,De Novo Generation,,,"A pre-trained, multi-modal encoder-decoder model designed for navigating and representing chemical space.",96.0,03/2024,5 months ago,,2.0,material/new-box
CRem,https://github.com/DrrDom/crem,https://doi.org/10.1186/s13321-020-00431-w,,,De Novo Generation,De Novo Generation,,,open-source Python framework to generate chemical structures using a fragment-based approach,197.0,04/2024,4 months ago,,50.0,material/new-box
DEVELOP,https://github.com/oxpig/DEVELOP,https://doi.org/10.1101/2021.04.27.441676v1.full,,,De Novo Generation,De Novo Generation,,,"Implements Deep Generative Design with 3D Pharmacophoric Constraints for molecular design, focusing on linker design and scaffold elaboration using a combination of variational autoencoders and 3D pharmacophore modeling.",55.0,01/2022,32 months ago,,0.0,material/new-box
DRAGONFLY,https://github.com/ETHmodlab/dragonfly_gen,https://doi.org/10.1038/s41557--023--01360--5-green,,,De Novo Generation,De Novo Generation,,,,22.0,04/2024,4 months ago,,0.0,material/new-box
DrugEx,https://github.com/CDDLeiden/DrugEx,https://doi.org/10.1021/acs.jcim.3c00434,,,De Novo Generation,De Novo Generation,,,"Library for de novo drug design using RNNs, Transformers within a multi-objective reinforcement learning framework",113.0,05/2024,4 months ago,,6.0,material/new-box
DST,https://github.com/futianfan/DST,,,,De Novo Generation,De Novo Generation,,,"Differentiable Scaffolding Tree (DST) enables gradient-based optimization on a chemical graph for molecule optimization, providing a novel approach for de novo molecule design.",26.0,07/2023,13 months ago,,,material/new-box
FASMIFRA,https://github.com/UnixJunkie/FASMIFRA,https://doi.org/10.1186/s13321-021-00566-4,,,De Novo Generation,De Novo Generation,,,Generate molecules fast from a molecular training set while also doing training-set distribution matching,50.0,09/2024,0 months ago,,13.0,material/new-box
FlowMol,https://github.com/dunni3/FlowMol,https://doi.org/10.48550/arXiv.2404.19739,,,De Novo Generation,De Novo Generation,,,,48.0,05/2024,3 months ago,,0.0,material/new-box
FraHMT,https://github.com/llldddmmm/Code-FraHMT,https://doi.org/10.1021/acs.jcim.4c00252,,,De Novo Generation,De Novo Generation,,,,3.0,01/2024,7 months ago,,0.0,material/new-box
GAN-Drug-Generator,https://github.com/larngroup/GAN-Drug-Generator,,,,De Novo Generation,De Novo Generation,,,"Proposes a framework based on Feedback Generative Adversarial Network (GAN) for the generation and optimization of drug-like molecules, including a multiobjective optimization selection technique.",10.0,04/2022,29 months ago,,,material/new-box
GENTRL (Generative Tensorial Reinforcement Learning),https://github.com/insilicomedicine/GENTRL,https://doi.org/10.1038/s41587-019-0224-x,,,De Novo Generation,De Novo Generation,,,"A variational autoencoder with a rich prior distribution of the latent space, trained to find molecules with high reward, emphasizing the relations between molecular structures and their properties.",599.0,09/2019,60 months ago,,728.0,material/new-box
GenUI,https://github.com/martin-sicho/genui,https://doi.org/10.1186/s13321-021-00550-y,,,De Novo Generation,De Novo Generation,,,"Offers API and GUI for molecular generators, QSAR modelling, and chemical space visualization.",30.0,09/2022,23 months ago,,12.0,material/new-box
GRAPHINVENT,https://github.com/MolecularAI/GraphINVENT,https://doi.org/10.1088/2632-2153/abcf91).,,,De Novo Generation,De Novo Generation,,,"A platform for graph-based molecular generation using graph neural networks, emphasizing probabilistic generation one bond at a time.",361.0,03/2023,18 months ago,,0.0,material/new-box
hgraph2graph,https://github.com/wengong-jin/hgraph2graph,https://doi.org/10.48550/arXiv.2002.03230,,,De Novo Generation,De Novo Generation,,,Hierarchical Generation of Molecular Graphs using Structural Motifs,367.0,04/2021,40 months ago,,0.0,material/new-box
